year,region,school,student
2023,전체,유치원,17.4
2023,전체,초등학교,21.3
2023,전체,중학교,23.8
2023,전체,고등학교,23
2023,종로구,유치원,18.8
2023,종로구,초등학교,18.4
2023,종로구,중학교,19.1
2023,종로구,고등학교,20.9
2023,중구,유치원,16.3
2023,중구,초등학교,20.6
2023,중구,중학교,15.8
2023,중구,고등학교,19.9
2023,용산구,유치원,18.9
2023,용산구,초등학교,18.5
2023,용산구,중학교,20
2023,용산구,고등학교,18.7
2023,성동구,유치원,15.4
2023,성동구,초등학교,19.1
2023,성동구,중학교,21.2
2023,성동구,고등학교,20.4
2023,광진구,유치원,18.8
2023,광진구,초등학교,21.6
2023,광진구,중학교,24.5
2023,광진구,고등학교,26.5
2023,동대문구,유치원,18
2023,동대문구,초등학교,21.6
2023,동대문구,중학교,22.8
2023,동대문구,고등학교,22.5
2023,중랑구,유치원,16.1
2023,중랑구,초등학교,20.4
2023,중랑구,중학교,22.4
2023,중랑구,고등학교,22.7
2023,성북구,유치원,18.7
2023,성북구,초등학교,21.6
2023,성북구,중학교,23.1
2023,성북구,고등학교,22.6
2023,강북구,유치원,14.3
2023,강북구,초등학교,20.7
2023,강북구,중학교,23.8
2023,강북구,고등학교,24.6
2023,도봉구,유치원,16.2
2023,도봉구,초등학교,20.3
2023,도봉구,중학교,22.1
2023,도봉구,고등학교,21.9
2023,노원구,유치원,16.8
2023,노원구,초등학교,20.6
2023,노원구,중학교,23.2
2023,노원구,고등학교,21
2023,은평구,유치원,15.8
2023,은평구,초등학교,20.9
2023,은평구,중학교,22.9
2023,은평구,고등학교,22.5
2023,서대문구,유치원,19.5
2023,서대문구,초등학교,21.8
2023,서대문구,중학교,22
2023,서대문구,고등학교,24.1
2023,마포구,유치원,18.4
2023,마포구,초등학교,20.8
2023,마포구,중학교,24.2
2023,마포구,고등학교,23.4
2023,양천구,유치원,16.2
2023,양천구,초등학교,22.2
2023,양천구,중학교,25.9
2023,양천구,고등학교,25.3
2023,강서구,유치원,17.5
2023,강서구,초등학교,20.9
2023,강서구,중학교,23.8
2023,강서구,고등학교,22.1
2023,구로구,유치원,17.5
2023,구로구,초등학교,20.4
2023,구로구,중학교,22.9
2023,구로구,고등학교,24.2
2023,금천구,유치원,16.4
2023,금천구,초등학교,18.9
2023,금천구,중학교,21.4
2023,금천구,고등학교,22.6
2023,영등포구,유치원,18.5
2023,영등포구,초등학교,20.8
2023,영등포구,중학교,23.1
2023,영등포구,고등학교,23
2023,동작구,유치원,18.6
2023,동작구,초등학교,21.1
2023,동작구,중학교,23.2
2023,동작구,고등학교,23.1
2023,관악구,유치원,14.9
2023,관악구,초등학교,19.5
2023,관악구,중학교,22.2
2023,관악구,고등학교,22.3
2023,서초구,유치원,17.3
2023,서초구,초등학교,24.5
2023,서초구,중학교,27.4
2023,서초구,고등학교,25.4
2023,강남구,유치원,16.2
2023,강남구,초등학교,23.8
2023,강남구,중학교,29.5
2023,강남구,고등학교,24.9
2023,송파구,유치원,18.6
2023,송파구,초등학교,22.2
2023,송파구,중학교,24
2023,송파구,고등학교,23.2
2023,강동구,유치원,19.7
2023,강동구,초등학교,22
2023,강동구,중학교,24
2023,강동구,고등학교,24.5
2022,전체,유치원,18
2022,전체,초등학교,21.4
2022,전체,중학교,24.2
2022,전체,고등학교,22.9
2022,종로구,유치원,18.9
2022,종로구,초등학교,18.7
2022,종로구,중학교,20
2022,종로구,고등학교,21.4
2022,중구,유치원,16.4
2022,중구,초등학교,20.1
2022,중구,중학교,16.1
2022,중구,고등학교,20.8
2022,용산구,유치원,18.9
